list_offer,id,crypto_price,usd_price,from,to,time,collection,rarity,qty
                     List                    ,5484,                        72 ETH                       ,"$126,285.84 ",                      6CB90F                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,6774,                        61 APE                       ,$244.00 ,                      7896A2                     ,                    ---                   ,                     1d ago                    ,,,
                     Offer                    ,9140,                        0.0363 WETH                       ,$63.61 ,                      LOA-1852515                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,429,                        0.0363 WETH                       ,$63.61 ,                      LOA-1852515                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,6774,                        59.990 ETH                       ,"$105,220.66 ",                      punksOTC3                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,2676,                        216.690 ETH                       ,"$380,067.76 ",                      Whodey                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,2216,                        61 WETH                       ,"$106,992.17 ",                      GordonTrade                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,7868,                        61 WETH                       ,"$106,992.17 ",                      GordonTrade                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,8723,                        64.220 ETH                       ,"$112,639.95 ",                      daisy666                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,429,                        60 WETH                       ,"$105,238.20 ",                      GordonTrade                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,205,                        0.0363 WETH                       ,$63.61 ,                      LOA-1852515                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,7320,                        0.0363 WETH                       ,$63.61 ,                      LOA-1852515                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,7868,                        0.0363 WETH                       ,$63.61 ,                      LOA-1852515                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,7320,                        69.990 ETH                       ,"$122,760.36 ",                      2503B8                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,8969,                        67.990 ETH                       ,"$119,252.42 ",                      Khalissman2                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,6774,                        62 ETH                       ,"$108,746.14 ",                      2F7A72                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,9355,                        73 ETH                       ,"$128,039.81 ",                      twitterdm                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,9140,                        65.950 ETH                       ,"$115,674.32 ",                      punksOTC3                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,3118,                        120 ETH                       ,"$210,476.40 ",                      spacebored                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,7335,                        72 ETH                       ,"$126,285.84 ",                      jerryjac                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,6774,                        62.950 ETH                       ,"$110,412.41 ",                      punksOTC3                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,7923,                        78 ETH                       ,"$136,809.66 ",                      MoonVault3000                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,3971,                        65.900 ETH                       ,"$115,586.62 ",                      FF1518                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,1889,                        63.400 ETH                       ,"$111,201.70 ",                      Mutatis                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,6637,                        76.690 ETH                       ,"$134,511.96 ",                      5381AF                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,1927,                        58.500 WETH                       ,"$102,607.24 ",                      Rasfueth                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,429,                        65 ETH                       ,"$114,008.05 ",                      BOOL-COLD-STORAGE                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,2786,                        69 ETH                       ,"$121,023.93 ",                      59EF3D                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,429,                        61.250 ETH                       ,"$107,430.66 ",                      BOOL-COLD-STORAGE                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,1927,                        67.3744 ETH                       ,"$118,172.68 ",                      ToTheMoon333VAULT                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,2786,                        60.500 ETH                       ,"$106,115.18 ",883990,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,2195,                        138 WETH                       ,"$242,047.86 ",                      GordonTrade                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,4799,                        59.5959 ETH                       ,"$104,529.42 ",                      franklinisbored                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,2227,                        120 ETH                       ,"$210,476.40 ",                      2D7144                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,6637,                        65 WETH                       ,"$114,008.05 ",                      1B57D4                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,1874,                        65 WETH                       ,"$114,008.05 ",                      Brainchip                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,2602,                        69.880 ETH                       ,"$122,567.42 ",                      4B98B4                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,8969,                        67.670 ETH                       ,"$118,691.15 ",                      Khalissman                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,2037,                        62.190 ETH                       ,"$109,079.39 ",                      Greedfulz                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,5176,"                        2,222 ETH                       ","$3,897,321.34 ",                      _Boo_Vault                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,2037,                        62.900 ETH                       ,"$110,324.71 ",                      Greedfulz                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,6749,                        80 ETH                       ,"$140,317.60 ",                      AA96A5                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,262,                        67.679 ETH                       ,"$118,706.94 ",                      EA192A                     ,                    ---                   ,                     2d ago                    ,,,
                     List                    ,1403,                        67.880 ETH                       ,"$119,059.48 ",                      5E610C                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,1357,                        67.500 WETH                       ,"$118,392.98 ",                      Brainchip                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,85,                        66 WETH                       ,"$115,762.02 ",                      Brainchip                     ,                    ---                   ,                     2d ago                    ,,,
                     Offer                    ,1676,                        62 WETH                       ,"$108,746.14 ",                      dontlooseyourtimeover...                     ,                    ---                   ,                     3d ago                    ,,,
                     Offer                    ,859,                        62 WETH                       ,"$108,746.14 ",                      dontlooseyourtimeover...                     ,                    ---                   ,                     3d ago                    ,,,
